The coronavirus CAN be transmitted in areas with hot and humid climates   The coronavirus CANNOT be transmitted through mosquito bites.   There is NO evidence that companion animals/pets such as dogs or cats can transmit the coronavirus,1
 Said That Hot Weather Or Cold Weather Can't Cure Covid-19 But Yet They Say One Can't Get It From Parcels Or Letters Where's The Evidence How Do They Know That.   ,0
Myth busters on coronavirus 2019. Advice by WHO  1 yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) 2 a hot bath does not prevent the new coronavirus disease  ,1
\  The coronavirus CAN be transmitted in areas with hot and humid climates.  Check here for more information ,1
    \  The coronavirus CAN be transmitted in areas with hot and humid climates.       Image source:  ,1
 Garlic water can cure coronavirus ,0
Please let's fight coronavirus by washing your hand by using sanitizer. Taking warm  water hot tea garlic with this we will fight Covid19 ,0
Myth B Taking a hot bath will NOT prevent you from contracting the new coronavirus disease,1
Great piece about Coronavirus hoax advice on Facebook.   No it doesn't spread on petrol pumps and you can't check for it by holding your breath for 10 seconds or stop it spreading by drinking hot drinks.       ,1
 Garlic water can cure coronavirus,1
Cold weather and snow CANNOT kill the new coronavirus. ,1
 Ask people to gargle several times a day with salt water as salt helps to kill germs and may help to stem the spread of the coronavirus. Now might be a good time to enjoy some salty popcorn as that would help to kill germs in the throat,0
You may have heard that taking a hot bath can kill the coronavirus but as far as we suggest now social distancing and hand washing is the best way to avoid corona.            ,1
Here are 5 health benefits of taking hot showers that will make you happy        ,1
Boiled Garlic Water For Treating Coronavirus? Not Really     ,1
 Salt water will kill the coronavirus virus,0
The coronavirus CAN be transmitted in areas with hot and humid climates.   ,0
Thread.   (Cold weather and snow CANNOT kill the new    There is no reason to believe that cold weather can kill the new coronavirus or other diseases.    1/3 ,1
I wonder if the coronavirus quarantine has anything to do with all this cold weather  Global warming reversal perhaps? ,1
The new coronavirus can be transmitted in areas with hot and humid climates. Facts about COVID-19 from the World Health Organization.          ,0
 FACTS: Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the  disease or any other lung disease.   ,1
 coronavirus leaving chioma a body after she drinks garlic pool water ,0
PSA: Eating garlic and drinking water can't protect you from getting coronavirus ,1
errr   : There is no reason to believe that cold weather can kill the new coronavirus or other diseases.  ,1
 : Taking a hot bath does not prevent the new coronavirus disease.  ,1
 Garlic water can cure coronavirus ,0
Taking a hot bath does not prevent the new coronavirus disease. Facts about COVID-19 from the World Health Organization.          ,1
my uncle told me to hold my breath for 10 seconds so the coronavirus will die inside my body??? no shit it'll die with me because of asphyxiation ,1
"Do you know? Taking a hot bath DOES NOT prevent thr new coronavirus disease. Visit our page for more information and latest updates about COVID19 ""          ",1
Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease,1
'member when holding your breath for 10 seconds or more meant you didn't have it?  Those were simpler ,1
TRUE OR FALSE you tell us “Being able to hold your breath for 10 seconds or more without coughing of feeling discomfort means you are free from the coronavirus or any lung disease”. Complete our live surveys now!  ,0
Taking a hot bath does not prevent the new coronavirus disease. Your normal body temperature remains the same regardless of the temperature of your bath or shower. Actually taking a hot bath will extremely hot water can be harmful as it can burn you.     ,1
Will  die out when it's hot and humid? Can the coronavirus be transmitted via mosquito bites?We're debunking COVID-19 myths  Our latest infographic:  ,1
